Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,85,33,4371629,2362177,275,8589.73
11675,Diverse Lrn Related Svc Prv CW,,1300,0,87685077,0,0,0.0
23231,Telpochcalli,Network 7,43,28,2519797,1860845,211,8819.16
23131,Esmond School,Network 10,33,18,2136858,1397029,235,5944.82
25351,Jesse Sherwood School,ISP,43,25,2487265,1792684,201,8918.84
25711,James Wadsworth School,Network 9,63,38,3511495,2347711,461,5092.65
23911,Edward N Hurley School,Network 10,73,51,4497484,3617811,732,4942.39
47061,Senn Metropolitan Academy Of Liberal Arts & Technology,Network 14,141,84,8358992,5434399,1597,3402.86
31281,Orozco Academy,Network 7,63,37,3575187,2510837,275,9130.32
46181,Thomas Kelly High School,Network 16,218,139,14152154,10617049,1637,6485.69
47101,Whitney M Young Magnet High School,Network 15,169,110,11538440,8347354,2230,3743.19
51071,William H Wells Community Academy High School,Network 15,66,38,3887374,2476060,419,5909.46
24771,Oriole Park School,Network 1,62,46,3564285,2918902,603,4840.6
22941,William E Dever School,Network 1,75,56,4032283,3232448,705,4584.98
29311,John H Vanderpoel Magnet Sch,Network 10,30,15,1811640,892829,245,3644.21
24761,William J Onahan School,Network 1,54,38,3392880,2669575,645,4138.87
46321,Lincoln Park High School,Network 14,179,120,11196134,8241686,2210,3729.3
22771,Edward Coles Model For Excellence School,Network 12,49,33,3073216,2389168,257,9296.38
25441,Herbert Spencer Math & Sci Aca,Network 3,83,52,4193349,3223727,388,8308.57
25521,Harriet Beecher Stowe School,Network 5,77,52,4451798,3522623,574,6137.01
22531,Daniel R Cameron Elementary School,Network 5,83,53,4634243,3505414,640,5477.24
29011,Thomas A Edison Reg Gifted Ct,Network 1,25,17,1590105,1063707,266,3998.9
25101,Frank W Reilly School,Network 4,95,60,5646135,4249291,520,8171.7
25231,Sidney Sawyer School,Network 8,139,94,8251925,6475187,865,7485.76
24721,West Park Academy,Network 5,59,40,3358747,2563820,404,6346.12
41121,Northwest Middle School,Network 3,52,31,2883156,2087734,537,3887.77
23301,John W Garvy School,Network 1,67,50,4303783,3528554,706,4997.96
29221,Philip Murray Language Academy,Network 9,48,24,2832861,1580618,472,3348.75
22351,William H Brown School,Network 6,39,21,2145968,1343355,233,5765.48
25601,James N Thorp School,Network 12,50,26,2492479,1512933,303,4993.18
24021,Joyce Kilmer School,Network 2,84,58,4882622,3851060,784,4912.1
26601,William E B Dubois School,Network 13,29,15,1458570,801569,180,4453.17
46291,Charles P Steinmetz Academic C,Network 14,153,93,10108350,7059695,1149,6144.23
22681,Eliza Chappell Elementary School,Network 2,66,40,3345593,2290149,586,3908.11
25151,Cesar E Chavez Multiclt Acad C,ISP,90,57,5030006,3742674,792,4725.62
46281,Carl Schurz High School,Network 14,204,142,12885528,10097987,1169,8638.19
25761,Joseph Warren School,Network 12,30,16,1693530,1062561,251,4233.32
22061,Philip D Armour School,ISP,38,22,2054085,1410509,241,5852.74
23041,John F Eberhart School,Network 10,126,84,7530172,5961058,949,6281.48
46241,Stephen T Mather High School,Network 14,145,103,9914465,7830330,1713,4571.16
25211,Sauganash School,Network 1,50,38,2886139,2351017,671,3503.76
25301,William H Seward Com Arts Acad,Network 8,72,45,4256384,3141039,362,8676.92
22881,Charles R Darwin School,Network 4,55,35,3041366,2253668,501,4498.33
22081,George Armstrong Elementary School,ISP,126,92,7822543,6359705,1261,5043.32
24081,Rudyard Kipling School,ISP,38,25,2066451,1484418,216,6872.3
23651,Robert Healy School,Network 6,115,79,6694358,5296807,1177,4500.27
25731,John A Walsh Elementary School,Network 7,57,37,2975888,2112586,299,7065.5
22401,Luther Burbank School,Network 3,90,55,5541858,4061150,682,5954.71
47021,William Jones Academic Mag HS,Network 15,144,97,8515112,6365747,1970,3231.44
22371,Bouchet Academy,Network 12,67,36,3894349,2348343,612,3837.17
22231,Alexander Graham Bell School,Network 4,94,56,5989153,4255458,888,4792.2
23611,Emiliano Zapata Academy,Network 7,88,56,4917631,3834244,436,8794.16
30141,Courtenay Language Arts Center,Network 2,104,50,4901667,2930572,275,10656.58
26391,George Leland School,Network 3,66,39,3830149,2773046,321,8638.76
22211,Jacob Beidler School,Network 5,52,32,2896388,2163039,229,9445.57
24401,Oscar F Mayer Elementary School,Network 4,79,46,4498760,3181969,705,4513.4
