Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
11675,Diverse Lrn Related Svc Prv CW,,1841,3,136105935,267048,0,0.0
23131,Esmond School,Network 10,37,18,2372365,1353395,235,5759.13
25351,Jesse Sherwood School,ISP,41,24,2896934,2136213,201,10627.91
23911,Edward N Hurley School,Network 10,77,51,5277607,4224238,732,5770.79
47061,Senn Metro Acd Of Lib Arts/Tec,Network 14,157,100,11120283,8026485,1597,5025.95
46181,Thomas Kelly High School,Network 16,189,118,14137588,10240830,1637,6255.84
47101,Whitney M Young Magnet High School,Network 15,182,117,13772437,9849301,2230,4416.71
24771,Oriole Park School,Network 1,66,48,4671573,3786017,603,6278.67
22941,William E Dever School,Network 1,80,56,5304892,4231555,705,6002.18
29311,John H Vanderpoel Magnet Sch,Network 10,31,16,2185414,1289160,245,5261.88
24761,William J Onahan School,Network 1,62,41,4691085,3585337,645,5558.69
46321,Lincoln Park High School,Network 14,198,135,13810001,10433838,2210,4721.2
29011,Thomas A Edison Reg Gifted Ct,Network 1,24,14,1767387,1159339,266,4358.41
24721,West Park Academy,Network 5,55,36,3864249,3024112,404,7485.4
29221,Philip Murray Language Academy,Network 9,46,24,3229922,1752084,472,3712.06
25601,James N Thorp School,Network 12,56,24,3067193,1777214,303,5865.37
24021,Joyce Kilmer School,Network 2,99,61,6598442,4832296,784,6163.63
26601,William E B Dubois School,Network 13,33,19,2167332,1442462,180,8013.7
46291,Charles P Steinmetz Academic C,Network 14,131,83,9329003,6867593,1149,5977.0
23231,Telpochcalli School,Network 7,38,22,2840042,1977002,211,9369.68
22681,Eliza Chappell Elementary School,Network 2,73,43,4232052,2808459,586,4792.56
25151,Cesar E Chavez Multiclt Acad C,ISP,100,56,6381071,4584587,792,5788.57
46281,Carl Schurz High School,Network 14,173,102,12447731,8849540,1169,7570.2
22061,Philip D Armour School,ISP,47,26,2566715,1638702,241,6799.59
25211,Sauganash School,Network 1,52,37,3684503,2928989,671,4365.11
22881,Charles R Darwin School,Network 4,69,37,4086572,2723794,501,5436.73
22081,George Armstrong Elementary School,ISP,111,78,8336148,6725235,1261,5333.25
24081,Rudyard Kipling School,ISP,37,23,2406870,1666495,216,7715.26
23651,Robert Healy School,Network 6,107,74,7733072,6395271,1177,5433.53
22401,Luther Burbank Elem,Network 3,94,50,6128466,4302411,682,6308.49
47021,William Jones Academic Mag HS,Network 15,163,110,11637768,8744024,1970,4438.55
22231,Alexander Graham Bell School,Network 4,94,60,6706262,4781530,888,5384.52
26391,George Leland School,Network 3,54,30,3368874,2240697,321,6980.36
24401,Oscar F Mayer School,Network 4,76,48,4882302,3677959,705,5216.95
49051,Simpson Academy for Yng Women,,18,13,1516119,1198463,0,0.0
31181,Francis W Parker Comm Academy,Network 11,60,28,3891884,2359669,344,6859.51
23341,J W Von Goethe School,Network 4,80,51,4793674,3652197,710,5143.93
25771,George Washington School,Network 13,67,44,4676958,3596143,562,6398.83
23491,Nathan Hale School,Network 10,86,53,6235812,4758913,756,6294.81
24241,Joseph Lovett School,Network 3,38,26,2582915,1988505,326,6099.7
24461,Hanson Park School,Network 3,169,93,11509286,7962018,1049,7590.16
31281,Orozco Academy,Network 7,58,28,3583694,2109525,275,7671.01
23201,Fernwood School,Network 13,28,14,1533753,912795,243,3756.37
30141,Courtenay Language Arts Center,Network 2,80,36,4354595,2303245,275,8375.43
