Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,85,33,4235526,2290779,275,8330.12
11675,Diverse Lrn Related Svc Prv CW,,1300,0,85764562,0,0,0.0
23231,Telpochcalli,Network 7,41,26,2500251,1830857,211,8677.05
23131,Esmond School,Network 10,35,17,2157144,1358372,235,5780.32
25351,Jesse Sherwood School,ISP,37,22,2365936,1678363,201,8350.05
25711,James Wadsworth School,Network 9,60,33,3255825,2193333,461,4757.78
23911,Edward N Hurley School,Network 10,72,51,4217109,3321725,732,4537.89
47061,Senn Metropolitan Academy Of Liberal Arts & Technology,Network 14,145,87,8410683,5639124,1597,3531.08
31281,Orozco Academy,Network 7,63,36,3234844,2181057,275,7931.14
46181,Thomas Kelly High School,Network 16,202,128,13172180,9654921,1637,5897.96
47101,Whitney M Young Magnet High School,Network 15,164,107,11429541,8155329,2230,3657.09
24771,Oriole Park School,Network 1,62,47,3507826,2931164,603,4860.95
22941,William E Dever School,Network 1,73,51,3896345,3046857,705,4321.77
29311,John H Vanderpoel Magnet Sch,Network 10,31,18,1675063,1077090,245,4396.29
24761,William J Onahan School,Network 1,51,36,3314862,2660160,645,4124.28
46321,Lincoln Park High School,Network 14,174,117,10767893,7942144,2210,3593.71
22771,Edward Coles Model For Excellence School,Network 12,44,29,2835669,2183632,257,8496.63
22531,Daniel R Cameron Elementary School,Network 5,77,51,4619690,3543870,640,5537.3
29011,Thomas A Edison Reg Gifted Ct,Network 1,23,16,1323637,974357,266,3663.0
24721,West Park Academy,Network 5,56,39,3557635,2826365,404,6995.96
23301,John W Garvy School,Network 1,65,48,4326311,3508920,706,4970.19
29221,Philip Murray Language Academy,Network 9,47,24,2813202,1467759,472,3109.66
22351,William H Brown Elementary School,Network 6,40,22,2036979,1450566,233,6225.62
25601,James N Thorp School,Network 12,47,21,2427285,1387654,303,4579.75
24021,Joyce Kilmer School,Network 2,86,58,5129767,3967673,784,5060.83
26601,William E B Dubois School,Network 13,29,17,1793454,1231343,180,6840.79
46291,Charles P Steinmetz Academic C,Network 14,137,82,9101607,6458038,1149,5620.53
22681,Eliza Chappell Elementary School,Network 2,68,42,3605568,2521714,586,4303.25
25151,Cesar E Chavez Multiclt Acad C,ISP,101,64,5678712,4224983,792,5334.64
46281,Carl Schurz High School,Network 14,181,126,11544765,9237722,1169,7902.22
25761,Joseph Warren School,Network 12,29,16,1374893,803850,251,3202.59
22061,Philip D Armour School,ISP,36,18,1813988,1115927,241,4630.42
25211,Sauganash School,Network 1,48,35,3104210,2487760,671,3707.55
25301,William H Seward Com Arts Acad,Network 8,69,42,4249743,3112310,362,8597.57
22881,Charles R Darwin School,Network 4,50,32,2796734,2029607,501,4051.12
22081,George Armstrong Elementary School,ISP,123,88,7745788,6253494,1261,4959.11
23651,Robert Healy School,Network 6,120,80,7056526,5511472,1177,4682.6
25731,John A Walsh Elementary School,Network 7,56,36,2710872,1924047,299,6434.93
22401,Luther Burbank School,Network 3,88,52,5208787,3766573,682,5522.81
47021,William Jones Academic Mag HS,Network 15,148,103,9110537,6970146,1970,3538.19
22371,Bouchet Academy,Network 12,64,32,3659086,2119979,612,3464.02
22231,Alexander Graham Bell School,Network 4,90,57,5574895,3990759,888,4494.18
30141,Courtenay Language Arts Center,Network 2,82,39,4192017,2428930,275,8832.48
26391,George Leland School,Network 3,56,35,3263952,2332508,321,7266.37
49051,Simpson Academy for Young Women,,18,13,1112420,1008452,0,0.0
31181,Francis W Parker Comm Academy,Network 11,66,36,3887569,2570028,344,7470.97
23341,J W Von Goethe School,Network 4,77,52,3925126,3052397,710,4299.16
25771,George Washington School,Network 13,72,47,4527350,3502245,562,6231.73
23491,Nathan Hale School,Network 10,88,59,5480578,4426118,756,5854.67
24241,Joseph Lovett School,Network 3,39,26,2376052,1782705,326,5468.42
70020,Walter Payton College Preperatory HS,Network 15,102,74,6160559,4910857,1257,3906.82
24461,Hanson Park School,Network 3,171,103,10060578,7354608,1049,7011.1
24401,Oscar F Mayer Elementary School,Network 4,78,42,4415748,2907504,705,4124.09
23201,Fernwood School,Network 13,28,13,1509847,825514,243,3397.17
46251,Morgan Park High School,Network 16,127,78,8296092,5873095,1202,4886.1
24431,Cyrus H Mccormick School,Network 7,71,47,4365819,3263989,438,7452.04
22171,Newton Bateman School,Network 1,88,59,5159433,4019502,873,4604.23
25581,Mancel Talcott School,Network 6,60,37,3117506,2222703,522,4258.08
53061,Neal F Simeon Voc High School,Network 17,126,67,7144946,4498955,1143,3936.04
25631,Enrico Tonti School,Network 8,94,62,5708295,4436262,766,5791.53
24221,Henry D Lloyd School,Network 3,103,70,6019934,4808604,795,6048.56
29071,Gerald Delgado Kanoon Magnet School,Network 7,63,41,3637186,2576231,344,7489.03
25471,Adlai E Stevenson School,Network 10,112,71,6937511,5131158,1131,4536.8
25101,Frank W Reilly School,Network 4,94,60,5638398,4408828,520,8478.53
46311,William Howard Taft High School,Network 14,249,172,16886588,12967709,4320,3001.8
31261,Jose De Diego Comm Academy,Network 5,79,44,4195713,2773974,561,4944.72
25951,Richard J Daley Academy,Network 8,59,36,3555115,2599526,475,5472.7
24821,John M Palmer School,ISP,67,48,4557214,3729306,738,5053.27
41111,Marine Leadership Acad at Ames,Network 14,84,52,5306559,3571353,571,6254.57
31211,Pulaski International School of Chicago,Network 6,81,49,4786931,3241397,912,3554.19
24711,Norwood Park School,Network 1,39,25,2303955,1697035,287,5913.01
24201,Carl Von Linne School,Network 4,59,42,3673640,2981587,695,4290.05
23041,John F Eberhart School,Network 10,121,80,7416215,5820047,949,6132.85
22201,Jean Baptiste Beaubien School,Network 1,78,52,5466783,4053646,985,4115.41
24941,Mary G Peterson School,Network 1,82,58,4695348,3786329,864,4382.43
46331,George Washington High School,Network 17,138,86,8271708,5852628,1517,3858.07
23751,South Loop School,ISP,66,46,3551888,2542513,797,3190.07
30011,Nancy B Jefferson Alt School,,63,53,5424664,4788968,0,0.0
11385,City Wide Early Childhood,,100,1,5341098,55096,0,0.0
22311,Brentano Math & Science Academy,Network 4,51,33,2792140,2042630,785,2602.08
23811,Rufus M Hitch School,Network 1,47,35,2972716,2379245,490,4855.61
46141,Gage Park High School,Network 16,63,28,3429942,1782339,358,4978.6
46421,Benito Juarez High School,Network 15,156,111,9618018,7615405,1656,4598.68
23621,Stephen K Hayt School,Network 2,93,65,5627078,4458013,789,5650.22
46121,Paul Robeson High School,,30,15,1622515,1022705,0,0.0
25931,Ludwig Von Beethoven School,Network 9,46,23,2451861,1628046,303,5373.09
25661,Mark Twain School,Network 10,90,60,5794813,4700695,821,5725.54
47031,Emil G Hirsch Metropolitan High School,Network 17,30,11,1782691,829263,118,7027.64
24531,James Monroe School,Network 4,81,58,5138796,4154886,606,6856.27
