Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
2411,Network 1,,10,0,888187,0,0,0.0
2421,Network 2,,10,0,847052,0,0,0.0
2431,Network 3,,13,0,1092412,0,0,0.0
2441,Network 4,,10,0,770957,0,0,0.0
2451,Network 5,,11,0,990650,0,0,0.0
2461,Network 6,,10,0,925023,0,0,0.0
2471,Network 7,,11,0,936702,0,0,0.0
2481,Network 8,,10,0,840379,0,0,0.0
2491,Network 9,,11,0,1075874,0,0,0.0
2501,Network 10,,10,0,1023652,0,0,0.0
2511,Network 11,,13,0,1351642,0,0,0.0
2521,Network 12,,10,0,941342,0,0,0.0
2531,Network 13,,10,0,1055988,0,0,0.0
5261,Department of JROTC,,15,0,995800,0,0,0.0
5281,Office of Education Options,,39,11,2178846,652742,0,0.0
10110,Board of Trustees,,8,0,676072,0,0,0.0
10210,Law Office,,75,0,5513517,0,0,0.0
10320,Inspector General,,17,0,1309675,0,0,0.0
10410,Chief Executive Officer,,1,0,0,0,0,0.0
10415,Chief Operating Officer,,4,0,385000,0,0,0.0
10430,Department of Audit Services,,7,0,418792,0,0,0.0
10450,Intergovernmental Relations,,15,0,1121522,0,0,0.0
10510,Communications Office,,22,0,1637058,0,0,0.0
10610,School Safety and Security Office,,48,0,2686442,0,0,0.0
10615,Safety and Security - City Wide,,174,0,5933626,0,0,0.0
10710,Chief of Staff,,12,0,824835,0,0,0.0
10810,Teaching and Learning Office,,15,0,1310915,0,0,0.0
10825,Professional Learning Office,,18,0,1314746,0,0,0.0
10845,"Magnet, Gifted and IB Programs",,8,0,668990,0,0,0.0
10850,Counseling and Postsecondary Advising,,16,1,1104427,93614,0,0.0
10855,Counseling and Postsecondary Advising - City Wide,,33,0,1198982,0,0,0.0
10870,College and Career Success Office,,8,0,763309,0,0,0.0
10890,Arts,,8,0,395500,0,0,0.0
10895,Social and Emotional Learning,,19,0,1264686,0,0,0.0
10898,Social and Emotional Learning - City Wide,,17,1,1462959,91859,0,0.0
10910,LSC Relations,,19,0,1257715,0,0,0.0
11010,Talent Office,,128,0,6686548,0,0,0.0
11070,Talent Office - City Wide,,85,2,1893869,213910,0,0.0
11110,Network Support,,17,0,1459392,0,0,0.0
11116,AUSL Program Support,,114,105,8025915,7056186,0,0.0
11201,Access and Enrollment,,15,0,1026935,0,0,0.0
11210,Assessment,,8,0,589275,0,0,0.0
11360,Early Childhood Development,,14,0,1014283,0,0,0.0
11371,Student Support and Engagement,,57,3,3558278,145693,0,0.0
11385,Early Childhood Development - City Wide,,112,6,5806850,0,0,0.0
11510,Language and Cultural Education,,10,0,606300,0,0,0.0
11540,Language & Cultural Education - City Wide,,35,0,659551,0,0,0.0
11551,Instructional Supports,,5,0,456766,0,0,0.0
11610,Diverse Learner Supports & Services,,79,0,6382309,0,0,0.0
11671,ODLSS Instructional Supports: Access & Opportunities,,39,0,2548938,0,0,0.0
11672,ODLSS Instructional Supports: Diverse-Learner Supports,,82,16,6128100,1419680,0,0.0
11673,ODLSS Instructional Supports: Specially-Designed Instruction,,78,0,5301000,0,0,0.0
11674,ODLSS Instructional Supports: Network Supports,,44,0,3725882,0,0,0.0
11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,,1298,0,88970668,0,0,0.0
11860,Facility Operations & Maintenance,,22,0,1807325,0,0,0.0
11870,Student Transportation,,47,0,2542286,0,0,0.0
11880,Facility Opers & Maint - City Wide,,1409,0,73095550,0,0,0.0
11890,CPS Warehouse - City Wide,,29,0,1842742,0,0,0.0
11910,Real Estate,,5,0,342308,0,0,0.0
11940,School Transportation - City Wide,,800,0,11481427,0,0,0.0
12010,Nutrition Support Services,,28,0,1765013,0,0,0.0
12050,Nutrition Support Services - City Wide,,230,0,4226470,0,0,0.0
12150,Capital/Operations - City Wide,,9,0,532550,0,0,0.0
12210,Procurement and Contracts Office,,22,0,1403181,0,0,0.0
12280,Business Diversity,,4,0,317397,0,0,0.0
12310,Chief Financial Officer,,2,0,227500,0,0,0.0
12410,Corporate Accounting,,32,0,1832770,0,0,0.0
12420,Children and Family Benefits Unit,,12,0,525510,0,0,0.0
12430,Accounts Payable,,13,0,665747,0,0,0.0
12440,Treasury,,7,0,623084,0,0,0.0
12450,Payroll Services,,31,0,1906906,0,0,0.0
12460,Risk Management,,5,0,113653,0,0,0.0
12510,Information & Technology Services,,163,0,12128736,0,0,0.0
12610,Budget & Management Office,,27,0,1996242,0,0,0.0
12620,Grant Funded Programs Office,,27,0,1486272,0,0,0.0
12625,Grant Funded Programs Office - City Wide,,10,0,518198,0,0,0.0
12670,Education General - City Wide,,115,86,5575131,4830494,0,0.0
13610,Innovation and Incubation,,21,0,1611163,0,0,0.0
13700,Literacy,,20,0,1222906,0,0,0.0
13716,Science,,5,0,345098,0,0,0.0
13717,Mathematics,,8,0,616302,0,0,0.0
13725,Early College and Career,,33,0,2397102,0,0,0.0
13727,Early College and Career - City Wide,,5,0,329500,0,0,0.0
13737,Sports Administration and Facilities Management - City Wide,,10,0,844754,0,0,0.0
13740,Office of Strategic School Support Services,,13,0,686312,0,0,0.0
13745,Office of Strategic School Support Services - City Wide,,12,0,839731,0,0,0.0
14010,Chief Administrative Officer,,3,0,280000,0,0,0.0
14040,External Affairs and Partnerships,,4,0,283800,0,0,0.0
14050,Office of Student Health & Wellness,,69,0,3446212,0,0,0.0
14060,Family & Community Engagement Office,,35,0,2219565,0,0,0.0
15010,School Support Center,,38,0,2299337,0,0,0.0
15500,Strategy Management Office,,11,0,548110,0,0,0.0
16050,Accountability,,33,0,2294619,0,0,0.0
20071,Columbia Explorers Academy,ISP,99,58,5039809,3696639,645,5731.19
22021,Jane Addams School,Network 13,70,47,4885358,3905183,516,7568.22
22031,Louis J Agassiz School,Network 4,64,35,4006076,2591743,339,7645.26
22041,Louisa May Alcott School,Network 4,95,59,5976285,4327054,548,7896.07
22061,Philip D Armour School,ISP,41,24,2275066,1591092,241,6602.07
22071,New Field School,Network 2,63,39,3923525,2985882,479,6233.57
22081,George Armstrong Elementary School,ISP,124,86,7875672,6257922,1261,4962.63
22091,Audubon Elementary School,Network 4,56,36,3119181,2321415,489,4747.25
22101,Avalon Park School,Network 12,36,23,1954300,1396185,196,7123.39
22131,Alice L Barnard Computer Math & Science Center,Network 10,37,19,2429384,1491522,226,6599.63
22141,John Barry Elementary School,Network 4,77,56,4671743,3852012,449,8579.11
22151,Clara W Barton School,Network 11,55,34,3118809,2381174,403,5908.62
22161,Perkins Bass School,Network 11,53,34,3208978,2528569,293,8629.94
