Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,105,34,5892730,2623948,275,9541.63
11675,Diverse Lrn Related Svc Prv CW,,1682,0,119800599,0,0,0.0
23131,Esmond School,Network 10,35,16,2362686,1394055,235,5932.13
25351,Jesse Sherwood School,ISP,38,22,2726709,1885246,201,9379.34
25711,James Wadsworth School,Network 9,68,35,3667070,2380121,461,5162.96
23911,Edward N Hurley School,Network 10,74,51,4962738,3980108,732,5437.34
46181,Thomas Kelly High School,Network 16,195,121,13908639,10148369,1637,6199.32
47101,Whitney M Young Magnet High School,Network 15,174,115,13045594,9598968,2230,4304.47
24771,Oriole Park School,Network 1,65,46,4313999,3464875,603,5746.06
22941,William E Dever School,Network 1,72,53,4679484,3861576,705,5477.41
24761,William J Onahan School,Network 1,61,41,4349966,3377460,645,5236.36
46321,Lincoln Park High School,Network 14,188,128,12581469,9827766,2210,4447.02
47061,Senn Metro Acd Of Lib Arts/Tec,Network 14,155,94,10310608,6993577,1597,4379.24
29011,Thomas A Edison Reg Gifted Ct,Network 1,25,15,1773849,1163615,266,4374.5
24721,West Park Academy,Network 5,56,38,3746712,2981001,404,7378.71
29311,John H Vanderpoel Magnet Sch,Network 10,33,17,2084891,1233099,245,5033.06
29221,Philip Murray Language Academy,Network 9,49,24,3144225,1734264,472,3674.28
22351,William H Brown School,Network 6,46,22,2775276,1665097,233,7146.33
25601,James N Thorp School,Network 12,49,23,2864948,1778002,303,5867.97
24021,Joyce Kilmer School,Network 2,101,62,6311115,4704378,784,6000.44
26601,William E B Dubois School,Network 13,34,17,2121803,1320234,180,7334.63
46291,Charles P Steinmetz Academic C,Network 14,135,82,9528655,6832012,1149,5946.04
23231,Telpochcalli School,Network 7,39,21,2620012,1833748,211,8690.76
22681,Eliza Chappell Elementary School,Network 2,74,44,4371993,3007256,586,5131.88
25151,Cesar E Chavez Multiclt Acad C,ISP,98,54,6048142,4191737,792,5292.64
