Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,133,37,7701258.0,3042715.0,275,11064.4
11675,Diverse Lrn Related Svc Prv CW,,2147,2,160710386.0,0.0,0,0.0
23131,Esmond School,Network 10,38,19,2495046.0,1480028.0,235,6298.0
23911,Edward N Hurley School,Network 10,79,49,5716244.0,4365694.0,732,5964.06
47061,Senn Metro Acd Of Lib Arts/Tec,Network 14,167,105,12314147.0,8708313.0,1597,5452.98
47101,Whitney M Young Magnet High School,Network 15,202,128,15781074.0,11129531.0,2230,4990.91
24761,William J Onahan School,Network 1,67,44,5165278.0,4033842.0,645,6253.99
29011,Thomas A Edison Reg Gifted Ct,Network 1,23,15,1904691.0,1349386.0,266,5072.88
29311,John H Vanderpoel Magnet Sch,Network 10,37,16,2523986.0,1333458.0,245,5442.69
29221,Philip Murray Language Academy,Network 9,50,26,3432304.0,2091889.0,472,4431.99
46181,Thomas Kelly High School,Network 16,209,124,15157033.0,10430407.0,1637,6371.67
25601,James N Thorp School,Network 12,70,26,3776715.0,1993810.0,303,6580.23
24021,Joyce Kilmer School,Network 2,107,64,7477645.0,5617242.0,784,7164.82
26601,William E B Dubois School,Network 13,31,17,2257476.0,1495329.0,180,8307.36
46291,Charles P Steinmetz Academic C,Network 14,135,82,10089853.0,7122818.0,1149,6199.18
23231,Telpochcalli School,Network 7,39,25,2929269.0,2169179.0,211,10280.46
22681,Eliza Chappell School,Network 2,81,42,5206145.0,3407665.0,586,5815.12
25151,Cesar E Chavez Multiclt Acad C,ISP,98,52,6848023.0,4608960.0,792,5819.41
46281,Carl Schurz High School,Network 14,178,96,13106273.0,8966745.0,1169,7670.43
25211,Sauganash School,Network 1,55,39,4258723.0,3337353.0,671,4973.7
22881,Charles R Darwin School,Network 4,80,39,4892708.0,3037950.0,501,6063.78
22081,George Armstrong Elementary School,ISP,123,84,9442890.0,7373941.0,1261,5847.67
24081,Rudyard Kipling School,ISP,34,20,2608265.0,1880990.0,216,8708.26
22401,Luther Burbank Elem,Network 3,102,51,6364696.0,4229989.0,682,6202.29
47021,William Jones Academic Mag HS,Network 15,176,118,13491951.0,10243075.0,1970,5199.48
26391,George Leland School,Network 3,66,38,3646807.0,2259062.0,321,7037.57
49051,Simpson Academy for Yng Women,,22,15,1801704.0,1374740.0,0,0.0
31181,Francis W Parker Comm Academy,Network 11,72,32,4607718.0,2835845.0,344,8243.72
23341,J W Von Goethe School,Network 4,93,51,5767511.0,4228378.0,710,5955.44
25771,George Washington School,Network 13,65,41,4960911.0,3710842.0,562,6602.92
23491,Nathan Hale School,Network 10,85,49,6505371.0,4782402.0,756,6325.88
24241,Joseph Lovett School,Network 3,44,28,3024073.0,2220356.0,326,6810.88
24461,Hanson Park School,Network 3,174,88,12372260.0,8030692.0,1049,7655.56
31281,Orozco Fine Arts and Sci,Network 7,42,22,3063516.0,1754798.0,275,6381.06
24401,Oscar F Mayer School,Network 4,73,44,5132561.0,3664071.0,705,5197.28
23201,Fernwood School,Network 13,26,13,1810001.0,1077185.0,243,4432.85
30141,Courtenay Language Arts Center,Network 2,72,31,4232042.0,2506465.0,275,9114.42
24771,Oriole Park School,Network 1,66,43,4923054.0,3759440.0,603,6234.61
24431,Cyrus H Mccormick School,Network 7,71,41,4957282.0,3672276.0,438,8384.21
25581,Mancel Talcott School,Network 6,73,44,4801623.0,3410109.0,522,6532.78
25631,Enrico Tonti School,Network 8,95,55,6958821.0,4962863.0,766,6478.93
70020,Walter Payton College Prep HS,Network 15,122,83,9420639.0,7275016.0,1257,5787.56
29071,Gerald Delgado Kanoon Mag Sch,Network 7,53,33,4268200.0,3101475.0,344,9015.92
25471,Adlai E Stevenson School,Network 10,140,74,9863182.0,6603205.0,1131,5838.38
25951,Richard J Daley Academy,Network 8,58,31,3933606.0,2620856.0,475,5517.6
41111,Marine Leadership Acad at Ames,Network 14,87,52,6402934.0,4643106.0,571,8131.54
31211,Pulaski International School of Chicago,Network 6,90,55,6530597.0,4599040.0,912,5042.8
24711,Norwood Park School,Network 1,40,27,3056012.0,2334615.0,287,8134.55
24201,Carl Von Linne School,Network 4,70,51,4897691.0,4038326.0,695,5810.54
23041,John F Eberhart School,Network 10,112,69,8512626.0,6248102.0,949,6583.88
22201,Jean Baptiste Beaubien School,Network 1,101,54,7342341.0,4745102.0,985,4817.36
24941,Mary G Peterson School,Network 1,93,59,6604996.0,4941195.0,864,5718.95
46331,George Washington High School,Network 17,172,103,12038983.0,8463187.0,1517,5578.88
