Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,87,33,4561078,2380659,275,8656.92
11675,Diverse Lrn Related Svc Prv CW,,1313,0,89481717,0,0,0.0
23231,Telpochcalli,Network 7,41,24,2498084,1729843,211,8198.32
23131,Esmond School,Network 10,33,17,2119206,1312279,235,5584.16
25351,Jesse Sherwood School,ISP,36,21,2357990,1631912,201,8118.98
25711,James Wadsworth School,Network 9,59,33,3311169,2137679,461,4637.05
23911,Edward N Hurley School,Network 10,70,48,4257535,3424902,732,4678.82
47061,Senn Metropolitan Academy Of Liberal Arts & Technology,Network 14,147,91,9055477,6152563,1597,3852.59
31281,Orozco Academy,Network 7,61,36,3644270,2579832,275,9381.25
46181,Thomas Kelly High School,Network 16,182,114,12335397,9182449,1637,5609.29
47101,Whitney M Young Magnet High School,Network 15,170,112,11719657,8415129,2230,3773.54
24771,Oriole Park School,Network 1,67,51,3766141,3106720,603,5152.09
29311,John H Vanderpoel Magnet Sch,Network 10,32,18,1969471,1223911,245,4995.57
24761,William J Onahan School,Network 1,53,40,3572296,2996284,645,4645.39
46321,Lincoln Park High School,Network 14,175,121,11300736,8577449,2210,3881.22
22531,Daniel R Cameron Elementary School,Network 5,78,50,4646037,3502024,640,5471.94
29011,Thomas A Edison Reg Gifted Ct,Network 1,24,15,1466237,931027,266,3500.07
24721,West Park Academy,Network 5,58,37,3554703,2660023,404,6584.22
29221,Philip Murray Language Academy,Network 9,49,25,3069882,1676395,472,3551.68
22351,William H Brown Elementary School,Network 6,44,22,2289222,1332976,233,5720.91
25601,James N Thorp School,Network 12,46,22,2426304,1410705,303,4655.82
24021,Joyce Kilmer School,Network 2,88,58,5456150,4108441,784,5240.31
26601,William E B Dubois School,Network 13,31,17,1929938,1275510,180,7086.16
46291,Charles P Steinmetz Academic C,Network 14,129,77,8973906,6376896,1149,5549.95
22681,Eliza Chappell Elementary School,Network 2,70,45,3556663,2474784,586,4223.19
25151,Cesar E Chavez Multiclt Acad C,ISP,100,56,5527802,3847005,792,4857.33
46281,Carl Schurz High School,Network 14,173,116,11456882,8969238,1169,7672.61
22061,Philip D Armour School,ISP,42,20,1900656,1157393,241,4802.45
25211,Sauganash School,Network 1,53,34,3184547,2502588,671,3729.62
22881,Charles R Darwin School,Network 4,52,34,2703837,1958354,501,3908.92
22081,George Armstrong Elementary School,ISP,122,89,7562142,6283790,1261,4983.19
24081,Rudyard Kipling School,ISP,30,18,1858023,1260129,216,5833.93
23651,Robert Healy School,Network 6,115,82,7327908,5977291,1177,5078.42
25731,John A Walsh Elementary School,Network 7,46,24,2444574,1723018,299,5762.61
22401,Luther Burbank School,Network 3,87,49,5321866,3798167,682,5569.17
47021,William Jones Academic Mag HS,Network 15,153,107,9588184,7257302,1970,3683.87
22231,Alexander Graham Bell School,Network 4,88,56,5927641,4338115,888,4885.26
26391,George Leland School,Network 3,50,30,3147997,2150933,321,6700.73
24401,Oscar F Mayer School,Network 4,78,46,4602297,3282706,705,4656.33
49051,Simpson Academy for Yng Women,,18,12,1232773,950559,0,0.0
31181,Francis W Parker Comm Academy,Network 11,58,28,3471393,2230279,344,6483.37
23341,J W Von Goethe School,Network 4,76,51,4216752,3291446,710,4635.83
25771,George Washington School,Network 13,72,49,4724245,3694865,562,6574.49
23491,Nathan Hale School,Network 10,83,57,5353068,4408205,756,5830.93
24241,Joseph Lovett School,Network 3,36,25,1982058,1546591,326,4744.11
24461,Hanson Park School,Network 3,168,99,10191366,7303039,1049,6961.91
23201,Fernwood School,Network 13,31,16,1681882,1072401,243,4413.18
46251,Morgan Park High School,Network 16,127,79,8723786,6349395,1202,5282.34
30141,Courtenay Language Arts Center,Network 2,73,37,3602548,2096272,275,7622.81
24431,Cyrus H Mccormick School,Network 7,69,45,4266188,3248229,438,7416.05
22171,Newton Bateman School,Network 1,93,62,5584024,4294576,873,4919.42
25581,Mancel Talcott School,Network 6,62,40,3341283,2446320,522,4686.45
53061,Neal F Simeon Voc High School,Network 17,131,67,7235357,4530664,1143,3963.84
25631,Enrico Tonti School,Network 8,91,62,5970506,4756129,766,6209.08
70020,Walter Payton College Preperatory HS,Network 15,107,81,6971468,5714148,1257,4545.86
23321,Frank L Gillespie School,Network 12,56,36,3106013,2334858,310,7531.78
24221,Henry D Lloyd School,Network 3,102,69,6135350,4934751,795,6207.27
29071,Gerald Delgado Kanoon Magnet School,Network 7,61,39,3761586,2665743,344,7749.24
25471,Adlai E Stevenson School,Network 10,116,73,7219829,5509853,1131,4871.68
25101,Frank W Reilly School,Network 4,89,58,5604819,4367178,520,8398.46
46311,William Howard Taft High School,Network 14,253,163,17131516,12534478,4320,2901.55
31261,Jose De Diego Comm Academy,Network 5,73,40,4167631,2763787,561,4926.59
25951,Richard J Daley Academy,Network 8,56,37,3275711,2476369,475,5213.41
24821,John M Palmer School,ISP,67,48,4745086,3887119,738,5267.1
41111,Marine Leadership Acad at Ames,Network 14,87,55,5645343,3966885,571,6947.25
31211,Pulaski International School of Chicago,Network 6,81,51,4810215,3453350,912,3786.55
24711,Norwood Park School,Network 1,38,24,2412090,1822881,287,6351.49
24201,Carl Von Linne School,Network 4,60,43,3847977,3108800,695,4473.06
23041,John F Eberhart School,Network 10,117,75,7335194,5687984,949,5993.62
22201,Jean Baptiste Beaubien School,Network 1,76,51,5344693,3878515,985,3937.61
24941,Mary G Peterson School,Network 1,82,59,4587223,3818671,864,4419.7
23751,South Loop School,ISP,64,44,3720079,2778406,797,3486.07
30011,Nancy B Jefferson Alt School,,62,51,5821691,4970346,0,0.0
11385,City Wide Early Childhood,,28,1,1686482,0,0,0.0
22311,Brentano Math & Science Academy,Network 4,53,35,3065366,2303830,785,2934.86
23811,Rufus M Hitch School,Network 1,48,35,3089249,2477882,490,5056.91
46141,Gage Park High School,Network 16,60,29,2992179,1552275,358,4335.96
46421,Benito Juarez High School,Network 15,165,118,10209610,8077102,1656,4877.42
23621,Stephen K Hayt School,Network 2,92,66,5750227,4691036,789,5945.57
25931,Ludwig Von Beethoven School,Network 9,44,21,2128135,1394042,303,4600.8
25661,Mark Twain School,Network 10,91,63,5939352,4825938,821,5878.13
47031,Emil G Hirsch Metropolitan High School,Network 17,27,10,1613159,758574,118,6428.58
24531,James Monroe School,Network 4,76,54,5029543,4100752,606,6766.92
25071,William H Ray School,Network 9,71,45,4256933,3125468,620,5041.09
45211,Chicago Academy School,Network 1,57,34,3368712,2443034,541,4515.79
32011,Albany Park Multi Acad School,Network 1,29,19,1905536,1317345,241,5466.17
26651,Mahalia Jackson School,Network 11,49,26,2725016,1782687,289,6168.47
25031,Ernst Prussing,Network 1,61,44,3957127,3261947,641,5088.82
24281,Mary Lyon School,Network 3,119,86,7395084,6053720,946,6399.29
25021,William H Prescott School,Network 4,42,26,2638379,1954195,477,4096.84
53091,David G Farragut Career Academy High School,Network 16,101,49,5828303,3206947,479,6695.08
23901,Charles Evans Hughes School,Network 7,34,22,1638125,1184065,173,6844.3
23401,William P Gray School,Network 1,99,70,6749659,5552054,970,5723.81
46511,Lindblom Math and Science Academy High School,Network 16,130,87,7534371,5493675,1307,4203.27
29161,Lasalle Language Academy School,Network 4,60,41,3753547,2977000,464,6415.97
26721,Sandoval School,Network 8,84,53,5369960,4155170,697,5961.54
25231,Sidney Sawyer School,Network 8,136,88,8297605,6448049,865,7454.45
23421,Ariel Community Academy,Network 9,54,33,3050141,2154175,315,6838.7
46381,Carver Military High School,Network 17,52,23,3393571,1815775,450,4035.05
24841,Park Manor Elementary School,Network 12,30,15,1847500,1210154,261,4636.59
24981,Ambrose Plamondon School,ISP,23,14,1194810,817440,93,8789.67
46021,Hancock High School,Network 15,81,60,5506608,4518509,1050,4303.28
24611,Wolfgang A Mozart School,Network 4,67,46,4004105,3101696,471,6585.37
23591,Helge A Haugan School,ISP,95,62,5762727,4495669,1030,4364.68
25491,Edward F Dunne School,Network 13,25,15,1819429,1320872,185,7139.85
22831,Peter Cooper Dual Language Academy,Network 7,55,33,3475637,2567905,420,6114.03
53041,Charles Allen Prosser Career Academy,Network 15,136,76,8238433,5117000,1224,4180.58
24591,Mount Greenwood Elementary School,ISP,82,58,5381906,4305171,1172,3673.36
25241,Jonathan Y Scammon School,Network 1,66,49,3886069,3165320,597,5302.06
22131,Alice L Barnard Comp Mth/Sc Ct,Network 10,38,20,2123430,1313759,226,5813.08
46361,Kenwood Academy,Network 17,138,91,9285301,6912173,2223,3109.32
26281,Henry O Tanner School,Network 12,41,24,2505287,1793715,239,7505.07
22091,Audubon School,Network 4,52,36,3072896,2442056,489,4994.01
29041,Turner-Drew Language Academy,Network 11,36,16,2039970,1028538,176,5843.95
25921,Ella Flagg Young School,Network 3,72,46,4940639,3846185,402,9567.61
22941,William E Dever School,Network 1,71,53,4188354,3407257,705,4832.95
22751,Dewitt Clinton School,ISP,100,77,5805233,4732384,1029,4599.03
23461,Robert L Grimes School,Network 10,49,34,2746569,2063482,357,5780.04
23141,Edward Everett Elementary School,ISP,34,16,1267308,582170,84,6930.58
25381,John D Shoop School,Network 13,43,27,2728520,1996700,433,4611.33
29141,Galileo Scholastic Academy Of Math & Science,Network 6,51,30,3385871,2376301,552,4304.88
46241,Stephen T Mather High School,Network 14,127,90,9076061,7339665,1713,4284.66
26331,Richard Henry Lee School,ISP,74,48,4932532,3875667,570,6799.43
24231,Josephine C Locke School,Network 3,121,79,7520094,5805238,1028,5647.09
23991,Joshua D Kershaw School,Network 11,37,22,1967614,1241037,204,6083.5
46301,Roger C Sullivan High School,Network 14,85,49,5066124,3357139,790,4249.52
24681,William P Nixon School,Network 4,77,55,4689838,3712317,665,5582.41
