,Dept ID,Department,Network,GeoNetwork,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student,Attendance Rate
22391,22391,Lyman A Budlong School,ISP,NETWORK 2,146,0,10493486.0,0,746,5898.83,91.5
53021,53021,Dunbar Vocational Career Acad,Network 17,NETWORK 17,109,0,7100133.0,0,365,7529.33,64.7
22211,22211,Jacob Beidler School,Network 5,NETWORK 5,57,0,3993097.0,0,216,7367.32,90.1
22791,22791,Christopher Columbus School,ISP,NETWORK 5,54,0,3416588.0,0,257,5063.99,93.0
23311,23311,Joseph E Gary School,Network 7,NETWORK 7,150,0,11114507.0,0,701,6565.21,91.6
25591,25591,Douglas Taylor Elementary School,Network 13,NETWORK 13,95,0,6115507.0,0,311,7955.59,88.7
26291,26291,Powell Paideia Comm Acad,Network 12,NETWORK 12,109,0,7995012.0,0,530,5858.34,90.0
31261,31261,Jose De Diego Comm Academy,Network 5,NETWORK 5,144,0,9939548.0,0,556,6391.66,85.8
25231,25231,Sidney Sawyer School,Network 8,NETWORK 8,166,0,13430789.0,0,875,6605.04,90.3
29301,29301,Ole A Thorp Scholastic Academy,ISP,NETWORK 1,146,0,11837882.0,0,830,5591.85,94.0
23711,23711,Helen M Hefferan School,Network 5,NETWORK 5,69,0,4411960.0,0,203,8431.09,86.8
29171,29171,Chicago World Language Academy,Network 6,NETWORK 6,78,0,6222903.0,0,456,5458.58,94.6
22101,22101,Avalon Park School,Network 12,NETWORK 12,51,0,3719812.0,0,193,7257.17,88.7
29281,29281,Mark Skinner School,Network 6,NETWORK 6,167,0,12454861.0,0,1160,4397.42,94.4
24451,24451,Francis M Mckay School,Network 10,NETWORK 10,127,0,9765881.0,0,600,6570.72,89.6
29271,29271,Harriet E Sayre Language Acad,Network 3,NETWORK 3,110,0,8064909.0,0,380,8845.59,89.6
46311,46311,William Howard Taft High Schoo,Network 14,NETWORK 14,582,0,47836259.0,0,4310,3890.83,80.6
47081,47081,Frederick W Von Steuben Metropolitan Science Center,Network 14,NETWORK 14,266,0,23240727.0,0,1701,6134.44,88.6
25831,25831,John Whistler School,Network 13,NETWORK 13,67,0,4080844.0,0,225,6477.78,90.7
26651,26651,Mahalia Jackson School,Network 11,NETWORK 11,97,0,6769574.0,0,300,8171.53,89.2
24871,24871,Ferdinand W Peck School,ISP,NETWORK 8,163,0,11634564.0,0,737,6106.28,91.6
29021,29021,Burnside Scholastic Academy,Network 12,NETWORK 12,83,0,5773939.0,0,272,6828.99,92.8
24361,24361,John L Marsh School,Network 13,NETWORK 13,124,0,9368875.0,0,568,6079.48,91.0
24591,24591,Mount Greenwood School,ISP,NETWORK 10,174,0,14344488.0,0,1179,5192.33,94.4
24801,24801,Luke O'Toole School,Network 11,NETWORK 11,76,0,5468003.0,0,286,7938.7,89.0
24971,24971,John T Pirie Fine Arts & Acad,Network 12,NETWORK 12,54,0,4147668.0,0,192,8727.97,88.7
24171,24171,Arthur A Libby School,Network 8,NETWORK 8,68,0,5045898.0,0,277,6606.03,88.2
22571,22571,Charles Carroll School,Network 10,NETWORK 10,97,0,7535001.0,0,394,7875.56,91.4
25361,25361,James Shields Elementary School,Network 8,NETWORK 8,114,0,8742869.0,0,431,8566.16,89.1
25791,25791,Daniel Webster School,Network 5,NETWORK 5,64,0,4608710.0,0,186,9444.11,91.3
25411,25411,John M Smyth School,Network 6,NETWORK 6,95,0,6899082.0,0,308,8399.92,87.4
24071,24071,John H Kinzie School,ISP,NETWORK 10,147,0,11226254.0,0,632,6953.9,92.8
47051,47051,Gwendolyn Brooks,ISP,NETWORK 17,168,0,13962837.0,0,998,5658.9,88.1
24931,24931,Irma C Ruiz School,Network 7,NETWORK 7,113,0,8309049.0,0,429,7731.63,89.7
23871,23871,Thomas Hoyne School,Network 12,NETWORK 12,44,0,3919727.0,0,220,7412.42,91.1
24301,24301,James Madison School,Network 12,NETWORK 12,55,0,4629671.0,0,194,9680.09,87.2
29321,29321,Beasley Magnet Acad Ctr,Network 9,NETWORK 9,199,0,14662600.0,0,1139,4643.02,91.0
22941,22941,William E Dever School,Network 1,NETWORK 1,131,0,9890930.0,0,709,6108.83,91.4
25011,25011,Portage Park School,Network 1,NETWORK 1,186,0,13941967.0,0,913,6247.19,90.8
25141,25141,Philip Rogers School,Network 2,NETWORK 2,159,0,12402347.0,0,797,6379.57,92.5
22971,22971,Arthur Dixon School,Network 12,NETWORK 12,78,0,5574768.0,0,396,5888.32,92.6
24231,24231,Josephine C Locke School,Network 3,NETWORK 3,209,0,15790935.0,0,1052,6217.41,89.9
24691,24691,Alfred Nobel School,ISP,NETWORK 5,113,0,8597014.0,0,542,6517.66,90.5
23291,23291,Frederick Funston School,Network 4,NETWORK 4,116,0,8300012.0,0,429,7425.98,90.2
49081,49081,Jacqueline B Vaughn Occ HS,Network 14,NETWORK 14,129,0,8934116.0,0,225,11992.16,81.9
25781,25781,Thomas J Waters School,Network 2,NETWORK 2,116,0,8261155.0,0,694,5006.62,93.2
22231,22231,Alexander Graham Bell School,Network 4,NETWORK 4,160,0,13311041.0,0,906,5945.75,94.0
51021,51021,Harlan Community Academy HS,Network 17,NETWORK 17,89,0,5378837.0,0,204,9187.88,66.2
29401,29401,Walt Disney Magnet School,Network 2,NETWORK 2,223,0,16946310.0,0,1443,4571.26,92.8
31041,31041,Crown Comm Acad Fine Arts Ct,Network 5,NETWORK 5,38,0,2753068.0,0,105,10304.03,92.5
23101,23101,Edward (Duke) K Ellington Scho,Network 3,NETWORK 3,117,0,8544931.0,0,486,7146.14,88.3
29361,29361,Ted Lenart Regional Gifted Cen,Network 11,NETWORK 11,47,0,3976179.0,0,302,5359.64,95.6
22991,22991,Jms R Doolittle Jr In/Up Cy Et,Network 9,NETWORK 9,64,0,4422587.0,0,255,6525.46,90.1
23651,23651,Robert Healy School,Network 6,NETWORK 6,181,0,16294524.0,0,1181,6117.1,95.9
23301,23301,John W Garvy School,Network 1,NETWORK 1,116,0,9835731.0,0,732,5944.27,92.2
31201,31201,Parkside Community Academy,Network 12,NETWORK 12,60,0,4824236.0,0,242,7614.01,86.9
25861,25861,John Greenleaf Whittier School,Network 7,NETWORK 7,56,0,4181714.0,0,234,7448.98,89.7
24951,24951,Marcus Moziah Garvey School,Network 13,NETWORK 13,58,0,3645074.0,0,242,5571.25,90.8
26841,26841,North River School,Network 1,NETWORK 1,62,0,4912687.0,0,301,6787.38,93.8
41091,41091,Logandale Middle School,Network 4,NETWORK 4,112,0,9062078.0,0,454,8195.21,90.7
22861,22861,Manuel Perez Elem,Network 7,NETWORK 7,77,0,5754972.0,0,290,8407.79,92.8
46031,46031,Roald Amundsen HS,Network 14,NETWORK 14,248,0,20288031.0,0,1448,5561.93,85.6
22281,22281,Scott Joplin School,Network 11,NETWORK 11,73,0,5553616.0,0,269,8696.26,89.6
25681,25681,Alessandro Volta School,Network 1,NETWORK 1,143,0,10674091.0,0,726,6195.28,91.6
25921,25921,Ella Flagg Young School,Network 3,NETWORK 3,89,0,7760762.0,0,406,8213.22,87.4
23971,23971,Kate S Kellogg School,Network 10,NETWORK 10,61,0,4786260.0,0,308,5951.03,95.0
22021,22021,Jane Addams School,Network 13,NETWORK 13,101,0,8039438.0,0,514,6696.26,90.4
23261,23261,Foster Park School,Network 11,NETWORK 11,88,0,5695909.0,0,334,6230.41,92.4
22061,22061,Philip Armour Elem,ISP,NETWORK 6,71,0,5248896.0,0,243,8681.05,92.3
24331,24331,Horace Mann School,Network 12,NETWORK 12,67,0,4379275.0,0,247,7209.74,91.2
24101,24101,Rodolfo Lozano Bil & Intrnl Ct,Network 6,NETWORK 6,87,0,5523007.0,0,257,7930.19,88.0
22731,22731,Henry Clay School,Network 13,NETWORK 13,117,0,8324712.0,0,575,5810.43,90.0
53051,53051,Ellen H Richards Career Acad,Network 16,NETWORK 16,88,0,6050318.0,0,336,7115.45,76.2
22271,22271,Mosaic School of Fine Arts,Network 2,NETWORK 2,150,0,11170846.0,0,734,6545.45,90.0
30031,30031,Walter Christopher School,Network 8,NETWORK 8,158,0,11078987.0,0,309,11293.64,84.1
25561,25561,Elizabeth H Sutherland School,Network 10,NETWORK 10,116,0,9069492.0,0,630,5683.76,93.5
22311,22311,Brentano Math & Sci Academy,Network 4,NETWORK 4,137,0,10598723.0,0,777,5866.53,91.8
51091,51091,Roberto Clemente Comm Acad HS,Network 15,NETWORK 15,190,0,12452722.0,0,769,6057.38,74.5
67021,67021,Peace and Educ Coalition,,,67,0,4790880.0,0,0,0.0,0.0
22551,22551,Andrew Carnegie School,Network 9,NETWORK 9,89,0,6308221.0,0,373,6048.52,90.4
25181,25181,Martha M Ruggles School,Network 12,NETWORK 12,80,0,6176385.0,0,273,9039.52,88.1
24191,24191,Abraham Lincoln School,Network 4,NETWORK 4,124,0,10835024.0,0,855,5592.95,94.0
25541,25541,New Sullivan Elem,Network 12,NETWORK 12,124,0,8049237.0,0,415,7411.44,87.6
31111,31111,John Hay Comm Academy School,Network 3,NETWORK 3,69,0,5169105.0,0,217,9391.69,90.0
24571,24571,Morrill Math and Sci Elem,Network 10,NETWORK 10,119,0,8234431.0,0,533,6261.05,89.5
22811,22811,Jordan Community School,Network 2,NETWORK 2,123,0,8763247.0,0,486,7512.2,90.2
29191,29191,Inter-American Magnet School,Network 4,NETWORK 4,126,0,9459209.0,0,618,6522.32,93.2
25091,25091,William Claude Reavis School,Network 9,NETWORK 9,82,0,5609394.0,0,300,7143.37,87.3
23481,23481,John C Haines School,Network 6,NETWORK 6,94,0,7164702.0,0,463,6786.77,96.9
29121,29121,Frank W Gunsaulus Schol Acad,Network 8,NETWORK 8,125,0,9490262.0,0,671,6366.01,94.4
23251,23251,Joseph Kellman Corp Comm Sch,Network 5,NETWORK 5,53,0,4589805.0,0,183,9929.7,91.4
46251,46251,Morgan Park High School,Network 16,NETWORK 16,201,0,16960137.0,0,1203,5619.6,78.9
29241,29241,William Bishop Owen Schol Acad,Network 10,NETWORK 10,60,0,4217081.0,0,283,5202.91,94.2
46391,46391,George Henry Corliss High School,Network 17,NETWORK 17,93,0,6603721.0,0,386,6089.21,78.4
22261,22261,James G Blaine School,Network 4,NETWORK 4,130,0,11152351.0,0,632,7508.02,94.7
22491,22491,Milton Brunson Specialty Elementary School,Network 3,NETWORK 3,104,0,7181821.0,0,424,6788.09,86.8
29371,29371,Albert R Sabin Magnet School,Network 6,NETWORK 6,77,0,5735224.0,0,354,6684.92,87.5
47091,47091,Chicago High School For Agricultural Sciences,ISP,NETWORK 16,184,0,13687044.0,0,780,6511.32,91.0
30081,30081,Frederick Stock School,,,72,0,5431157.0,0,0,0.0,0.0
26281,26281,Henry O Tanner School,Network 12,NETWORK 12,74,0,5725655.0,0,235,9174.74,86.8
24821,24821,John M Palmer School,ISP,NETWORK 1,143,0,11586374.0,0,747,6509.84,90.7
25401,25401,Washington D Smyser School,Network 1,NETWORK 1,148,0,12155317.0,0,757,6834.88,90.5
23431,23431,Nathanael Greene School,Network 8,NETWORK 8,72,0,5793590.0,0,317,7660.7,91.8
25331,25331,Arnold Mireles Academy,Network 12,NETWORK 12,101,0,6310081.0,0,487,5276.67,89.7
25871,25871,A N Pritzker School,Network 6,NETWORK 6,114,0,9041265.0,0,677,5773.66,93.8
23961,23961,Joseph Jungman School,ISP,NETWORK 7,99,0,7374855.0,0,303,9374.99,89.6
25041,25041,George M Pullman School,Network 13,NETWORK 13,73,0,5410720.0,0,274,7530.6,89.6
49031,49031,Southside Occupational Academy,,,187,0,12571179.0,0,0,0.0,0.0
25941,25941,Carrie Jacobs Bond School,Network 11,NETWORK 11,75,0,5369468.0,0,250,8143.21,88.6
29151,29151,Maria Saucedo Scholastic Academy,Network 7,NETWORK 7,186,0,13987289.0,0,900,5969.33,90.2
49101,49101,Ray Graham Training Center,,,120,0,7950952.0,0,0,0.0,0.0
26421,26421,Mary E Mcdowell School,ISP,NETWORK 12,34,0,2000094.0,0,93,6920.66,94.0
31081,31081,Stephen F Gale Comm Academy,Network 2,NETWORK 2,98,0,6582511.0,0,342,6985.57,84.4
22511,22511,Daisy Bates Academy Social Jus,ISP,NETWORK 12,53,0,3732841.0,0,204,7680.17,89.0
25101,25101,Frank W Reilly School,Network 4,NETWORK 4,118,0,9937363.0,0,526,8121.21,92.4
22421,22421,Augustus Burley Elem,Network 4,NETWORK 4,87,0,6859125.0,0,498,6014.59,94.8
26621,26621,Charles H Wacker School,ISP,NETWORK 11,55,0,4735685.0,0,211,8862.3,93.9
29341,29341,Jensen Scholastic Academy School,Network 5,NETWORK 5,72,0,5444025.0,0,216,10058.82,92.7
23671,23671,Phoebe Apperson Hearst School,Network 10,NETWORK 10,93,0,6361872.0,0,272,8523.84,90.5
46041,46041,William J Bogan Comp Tech HS,Network 16,NETWORK 16,143,0,10919032.0,0,621,6414.63,76.7
46191,46191,Kelvyn Park High School,Network 14,NETWORK 14,128,0,8402775.0,0,538,6204.24,74.3
25621,25621,George W Tilton School,Network 5,NETWORK 5,59,0,4604250.0,0,216,8057.86,87.8
23011,23011,John B Drake School,Network 9,NETWORK 9,78,0,5768079.0,0,281,7619.99,88.3
23221,23221,John Fiske School,Network 9,NETWORK 9,84,0,5956696.0,0,359,6190.07,87.1
22901,22901,Charles Gates Dawes School,Network 10,NETWORK 10,182,0,14630325.0,0,889,7046.39,91.0
53091,53091,David G Farragut Career Academy High School,Network 16,NETWORK 16,140,0,9811927.0,0,473,7356.2,70.4
22481,22481,John C Burroughs School,Network 8,NETWORK 8,80,0,6362577.0,0,293,9201.17,92.0
22351,22351,William H Brown School,Network 6,NETWORK 6,88,0,6088651.0,0,238,10065.94,91.8
23071,23071,Edgebrook School,Network 1,NETWORK 1,107,0,8060390.0,0,544,6261.92,94.2
23391,23391,Alexander Graham School,Network 6,NETWORK 6,83,0,5273318.0,0,368,5571.65,87.3
24051,24051,Lazaro Cardenas Elem,ISP,NETWORK 7,171,0,14171075.0,0,732,8160.67,90.3
41051,41051,Michele Clark Academic Prep,ISP,NETWORK 15,125,0,7857127.0,0,475,5472.45,72.8
25441,25441,Herbert Spencer Math & Sci Aca,Network 3,NETWORK 3,96,0,6727243.0,0,377,7179.66,85.6
25841,25841,Eli Whitney School,Network 7,NETWORK 7,126,0,9325559.0,0,569,6858.49,90.7
22871,22871,Everett Mckinley Dirksen School,Network 1,NETWORK 1,175,0,14004379.0,0,1252,4739.43,90.9
26731,26731,Barbara Vick EC & Fam Ct,,,119,0,8570107.0,0,0,0.0,0.0
24601,24601,Mount Vernon School,Network 13,NETWORK 13,59,0,4260736.0,0,214,7016.08,89.6
25571,25571,George B Swift Specialty Schoo,Network 2,NETWORK 2,127,0,9600083.0,0,525,7355.4,91.1
23351,23351,Jesse Owens Elem Comm Academy,Network 13,NETWORK 13,93,0,6152378.0,0,325,6656.52,89.9
22131,22131,Alice Barnard Comp-Math-Sci,Network 10,NETWORK 10,60,0,4468555.0,0,228,7331.29,90.5
32081,32081,Ashburn Community Area School,Network 10,NETWORK 10,97,0,7160764.0,0,312,8665.55,91.0
23421,23421,Ariel Community Academy,Network 9,NETWORK 9,103,0,7185486.0,0,327,8647.21,88.4
23441,23441,John Gregory School,Network 5,NETWORK 5,73,0,4676567.0,0,235,7171.7,92.5
23801,23801,William G Hibbard School,Network 1,NETWORK 1,162,0,12523338.0,0,890,6244.22,93.5
24131,24131,Wendell E Green School,Network 11,NETWORK 11,80,0,5969716.0,0,285,7810.96,91.9
47031,47031,Emil G Hirsch Metro HS,Network 17,NETWORK 17,54,0,3428586.0,0,119,10641.4,72.4
22701,22701,Salmon Chase School,Network 4,NETWORK 4,132,0,9320590.0,0,421,8133.38,90.7
24421,24421,Minnie Mi̱oso Academy,Network 6,NETWORK 6,98,0,6274709.0,0,294,7141.43,89.1
24621,24621,John B Murphy School,Network 1,NETWORK 1,112,0,8914800.0,0,532,7238.9,91.3
32021,32021,Lionel Hamptn Fin/Perf Art Sch,Network 10,NETWORK 10,99,0,6814684.0,0,433,6444.59,89.4
23211,23211,Eugene Field School,Network 2,NETWORK 2,41,0,2022065.0,0,135,5231.41,91.5
29131,29131,Hawthorne Scholastic Academy,Network 4,NETWORK 4,105,0,8453023.0,0,643,5672.87,94.9
23561,23561,Bret Harte School,Network 9,NETWORK 9,75,0,5469745.0,0,316,6464.75,90.3
26431,26431,Edward H White,Network 13,NETWORK 13,39,0,2611485.0,0,115,8575.42,87.4
22031,22031,Tubman Elem School,Network 4,NETWORK 4,96,0,6179771.0,0,333,7287.39,92.0
25391,25391,Theophilus Schmid School,Network 12,NETWORK 12,64,0,3879252.0,0,187,8178.12,88.8
25751,25751,James Ward School,Network 6,NETWORK 6,84,0,7225628.0,0,493,6351.36,96.2
31061,31061,Ralph H Metcalfe Com Acad Sch,Network 13,NETWORK 13,77,0,5220620.0,0,314,6679.44,89.3
25111,25111,Peter A Reinberg School,Network 1,NETWORK 1,174,0,13987239.0,0,759,7608.48,91.2
25931,25931,Ludwig van Beethoven Elem,Network 9,NETWORK 9,79,0,3525829.0,0,311,3846.46,86.0
24311,24311,George Manierre School,Network 4,NETWORK 4,75,0,5280444.0,0,269,7473.34,82.3
29291,29291,Stone Scholastic Academy,Network 2,NETWORK 2,105,0,8005231.0,0,553,5538.71,93.2
26191,26191,Arthur R Ashe Jr School,Network 12,NETWORK 12,75,0,5817694.0,0,343,6851.61,86.0
23411,23411,Josefa Ortiz De Dominguez Elementary School New Gary,Network 7,NETWORK 7,98,0,6122645.0,0,392,5619.37,90.4
23831,23831,Oliver Wendell Holmes School,Network 8,NETWORK 8,45,0,3506315.0,0,143,10010.51,87.4
26021,26021,Willa Cather School,Network 5,NETWORK 5,102,0,7184322.0,0,301,9295.4,88.8
29251,29251,John J Pershing East Mag Sch,Network 9,NETWORK 9,95,0,7681727.0,0,418,7687.13,91.8
22721,22721,Frederic Chopin School,Network 5,NETWORK 5,99,0,6856720.0,0,328,7616.73,86.0
41121,41121,Northwest Middle School,Network 3,NETWORK 3,112,0,7693157.0,0,537,5807.3,88.6
22601,22601,Rachel Carson Elem,ISP,NETWORK 8,162,0,9235789.0,0,727,5097.9,93.2
23921,23921,Friedrich L Jahn School,Network 4,NETWORK 4,89,0,6540235.0,0,340,8314.31,90.5
24981,24981,Ambrose Plamondon School,ISP,NETWORK 5,53,0,2215156.0,0,92,8588.07,90.7
23501,23501,Alexander Hamilton School,Network 4,NETWORK 4,108,0,7940167.0,0,501,6721.07,94.4
22891,22891,Nathan S Davis School & Annex,Network 8,NETWORK 8,122,0,8946658.0,0,520,6805.27,90.6
22191,22191,George Rogers Clark School,ISP,NETWORK 3,39,0,2657211.0,0,137,7889.12,92.7
23721,23721,Charles R Henderson School,Network 8,NETWORK 8,69,0,4649147.0,0,225,8193.55,89.8
26701,26701,Fairfield Academy,Network 10,NETWORK 10,98,0,6184702.0,0,470,4918.75,90.0
24791,24791,James Otis School,Network 6,NETWORK 6,113,0,7689567.0,0,357,7739.76,88.6
23551,23551,Sharon Christa Mcauliffe Schoo,Network 4,NETWORK 4,129,0,9396693.0,0,501,8002.3,89.1
31121,31121,Thomas A Hendricks Comm Acad,Network 9,NETWORK 9,76,0,4814490.0,0,185,9809.46,85.7
24511,24511,Ellen Mitchell School,ISP,NETWORK 5,80,0,6081454.0,0,450,5730.27,93.7
31151,31151,Charles Kozminski Com Acad,Network 9,NETWORK 9,66,0,4696422.0,0,244,7378.69,89.0
26771,26771,Belmont-Cragin Elem,Network 3,NETWORK 3,127,0,8777154.0,0,532,6725.56,91.4
25121,25121,Paul Revere Accelerated School,Network 12,NETWORK 12,60,0,3932338.0,0,184,8443.97,88.5
29031,29031,Stephen Decatur Classical Scho,Network 2,NETWORK 2,55,0,4099733.0,0,341,4380.87,94.6
31141,31141,Pilsen Community Academy,Network 7,NETWORK 7,75,0,5069097.0,0,209,9439.75,93.0
23241,23241,Fort Dearborn School,Network 11,NETWORK 11,86,0,6311552.0,0,331,7419.68,89.2
22221,22221,Hiram Belding Elem,,,103,0,8003938.0,0,0,0.0,0.0
30071,30071,Blair Early Childhood Center,,,100,0,7318075.0,0,0,0.0,0.0
23371,23371,William C Goudy School,Network 2,NETWORK 2,112,0,9461354.0,0,504,8176.06,92.5
23731,23731,Patrick Henry School,Network 1,NETWORK 1,98,0,7655508.0,0,422,7630.69,91.4
29051,29051,Leif Ericson Scholastic Academ,Network 5,NETWORK 5,83,0,6022870.0,0,302,8481.31,90.9
26441,26441,Amelia Earhart Opt for Know Sc,Network 12,NETWORK 12,41,0,3485826.0,0,185,7575.73,94.6
29231,29231,Walter L Newberry Mth/Sci Acd,Network 4,NETWORK 4,88,0,6669456.0,0,312,8489.58,90.1
22151,22151,Clara W Barton School,Network 11,NETWORK 11,100,0,7315118.0,0,395,7262.66,88.9
30121,30121,Wilma G Rudolph Learning Center,,,70,0,4655381.0,0,0,0.0,0.0
32011,32011,Albany Park Multicutural Acad,Network 1,NETWORK 1,47,0,3966917.0,0,242,6644.69,92.5
23791,23791,Agustin Lara Academy,ISP,NETWORK 8,96,0,7424358.0,0,307,10014.87,90.1
26321,26321,Benjamin E Mays Academy,Network 11,NETWORK 11,66,0,3978632.0,0,268,5445.63,90.0
25991,25991,Joseph Brennemann Elem,Network 2,NETWORK 2,127,0,8190616.0,0,483,6945.27,89.3
24371,24371,Michael Faraday School,Network 5,NETWORK 5,54,0,3703698.0,0,185,7601.41,88.4
25491,25491,Edward F Dunne School,Network 13,NETWORK 13,53,0,4530419.0,0,182,10385.99,93.3
20071,20071,Columbia Explorers Academy,ISP,NETWORK 8,154,0,11182516.0,0,673,6712.12,93.6
24381,24381,Roswell B Mason School,Network 7,NETWORK 7,68,0,4578467.0,0,222,7826.47,87.2
24651,24651,Jane A Neil School,Network 12,NETWORK 12,115,0,7047808.0,0,229,9527.21,87.9
26201,26201,John T Mccutcheon School,Network 2,NETWORK 2,125,0,7914398.0,0,323,8392.23,90.3
26061,26061,Jackie R Robinson School,Network 9,NETWORK 9,35,0,2807284.0,0,104,10388.6,88.9
30101,30101,Ruben Salazar Bilingual Education Center School,ISP,NETWORK 6,76,0,5233316.0,0,350,6000.26,88.1
11672,11672,Diverse Lrn Pupil Pers Service,,,64,0,5636624.0,0,0,0.0,0.0
31101,31101,Ninos Heroes Academic Center,Network 12,NETWORK 12,78,0,5315344.0,0,272,7503.16,88.1
25811,25811,Daniel S Wentworth School,,,112,0,7621130.0,0,0,0.0,0.0
41041,41041,Francisco I Madero Mid School,Network 7,NETWORK 7,53,0,3921895.0,0,222,6040.21,89.7
26251,26251,Irvin C Mollison School,Network 9,NETWORK 9,66,0,3990061.0,0,221,6583.21,85.1
24641,24641,Henry H Nash School,Network 3,NETWORK 3,85,0,5386382.0,0,278,7161.73,88.2
22741,22741,Grover Cleveland School,Network 1,NETWORK 1,128,0,9946169.0,0,491,8847.73,90.6
46141,46141,Gage Park High School,Network 16,NETWORK 16,102,0,6614141.0,0,361,7411.41,83.0
23751,23751,South Loop School,ISP,NETWORK 6,151,0,10243949.0,0,816,4752.44,93.8
23511,23511,John H Hamline School,Network 8,NETWORK 8,140,0,8740171.0,0,527,6382.07,86.2
22641,22641,Ira Aldridge Elem,Network 13,NETWORK 13,53,0,3430209.0,0,202,5770.68,88.5
24551,24551,Bernhard Moos School,Network 5,NETWORK 5,107,0,7762212.0,0,432,7392.92,90.6
22361,22361,Charles Brownell Elem,Network 12,NETWORK 12,43,0,2975679.0,0,144,7595.72,90.3
53111,53111,Manley Career Comm Academy HS,Network 15,NETWORK 15,49,0,2246346.0,0,136,4793.13,68.9
23141,23141,Edward Everett Elementary School,ISP,NETWORK 8,51,0,3533132.0,0,90,16432.77,96.0
46491,46491,Bowen High School,Network 17,NETWORK 17,86,0,5309016.0,0,248,7209.77,72.7
25761,25761,Joseph Warren School,Network 12,NETWORK 12,53,0,3498978.0,0,277,4777.62,91.4
25911,25911,Richard Yates School,Network 5,NETWORK 5,106,0,7357154.0,0,270,10129.76,90.2
31301,31301,Claremont Academy,Network 10,NETWORK 10,117,0,8171127.0,0,307,10108.55,91.1
23881,23881,Cuffe Math Sci Tech Acad,Network 11,NETWORK 11,70,0,5229103.0,0,218,9000.92,92.1
55171,55171,Schl of Social Justice HS,Network 15,NETWORK 15,78,0,5861714.0,0,287,8600.34,81.3
55151,55151,"Infinity Mth, Sci and Tech HS",Network 15,NETWORK 15,86,0,7152387.0,0,410,7571.45,89.3
55191,55191,Bronzeville Schol Acad HS,Network 17,NETWORK 17,46,0,3755595.0,0,117,12537.81,86.0
22651,22651,George F Cassell School,ISP,NETWORK 10,95,0,7622301.0,0,349,9044.93,92.4
55181,55181,Multicultural Arts High School,Network 15,NETWORK 15,70,0,5035716.0,0,274,7836.52,72.8
55161,55161,Williams Prep Schl of Medicine,Network 17,NETWORK 17,46,0,3639148.0,0,83,16856.21,86.2
25671,25671,Lavizzo School,Network 13,NETWORK 13,73,0,5449504.0,0,332,6373.68,92.5
51071,51071,William H Wells Community Academy High School,Network 15,NETWORK 15,93,0,7141654.0,0,423,6779.81,75.0
29211,29211,Annie Keller Regional Gifted Magnet School,Network 10,NETWORK 10,36,0,3271376.0,0,221,5481.17,95.9
26751,26751,Johnnie Colemon School,Network 13,NETWORK 13,53,0,4625552.0,0,157,12665.57,92.2
23631,23631,Woodlawn Community,Network 9,NETWORK 9,46,0,3264897.0,0,151,8748.78,90.6
22071,22071,New Field School,Network 2,NETWORK 2,120,0,9370443.0,0,497,7532.56,91.2
22431,22431,Burnham Elem Inclusive Acad,Network 13,NETWORK 13,99,0,7507099.0,0,390,7723.91,89.9
22621,22621,George Washington Carver Elem,Network 13,NETWORK 13,88,0,6997244.0,0,441,6244.58,88.2
24881,24881,Washington Irving School,Network 6,NETWORK 6,75,0,5106538.0,0,305,6253.51,86.4
46371,46371,King College Prep HS,Network 17,NETWORK 17,145,0,10560460.0,0,812,5049.99,90.9
31221,31221,Charles Sumner Mth/Sci Com Acd,Network 5,NETWORK 5,69,0,4325997.0,0,181,8472.12,93.6
23321,23321,Frank L Gillespie School,Network 12,NETWORK 12,93,0,5563390.0,0,310,6813.42,88.6
26451,26451,Brighton Park School,Network 8,NETWORK 8,74,0,5698827.0,0,296,7698.68,89.6
26351,26351,Genevieve Melody School,Network 5,NETWORK 5,90,0,5659991.0,0,310,6434.2,98.0
46481,46481,Chicago Academy High School,Network 14,NETWORK 14,114,0,8903578.0,0,590,6495.85,90.4
24811,24811,Wells Preparatory School,Network 9,NETWORK 9,68,0,5594359.0,0,324,6568.03,90.6
26371,26371,MLK Academy of Social Justice,Network 11,NETWORK 11,67,0,3997729.0,0,195,8352.28,88.6
26461,26461,Evergreen Academy School,Network 8,NETWORK 8,53,0,4511632.0,0,197,9553.12,92.4
26821,26821,Calmeca Acad of Arts & Dual Lg,Network 8,NETWORK 8,127,0,9534854.0,0,579,6855.3,91.2
55011,55011,Phoenix Military Academy,ISP,NETWORK 15,86,0,6512393.0,0,380,6610.82,89.2
29111,29111,A Philip Randolph Magnet Schoo,Network 11,NETWORK 11,80,0,6259058.0,0,304,8772.92,91.6
46461,46461,Spry Community Links HS,Network 16,NETWORK 16,57,0,4054510.0,0,85,19090.39,63.8
32031,32031,National Teachers' Academy (NTA),Network 6,NETWORK 6,122,0,9053421.0,0,719,5229.59,92.2
45221,45221,Rickover Naval Academy,ISP,NETWORK 14,93,0,7628976.0,0,536,5497.66,87.1
46471,46471,Al Raby High School,Network 15,NETWORK 15,87,0,5722113.0,0,122,16364.14,73.2
22951,22951,Dewey Academy of Fine Arts,Network 8,NETWORK 8,91,0,5528254.0,0,253,8059.94,91.7
12670,12670,City Wide Education General,,,277,0,13522232.0,0,0,0.0,0.0
11940,11940,School Transportation CW,,,814,0,12150059.0,0,0,0.0,0.0
