Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
25571,George B Swift Specialty Schoo,Network 2,77,50,4702811,3650374,512,7129.63
23351,Jesse Owens Elem Comm Academy,Network 13,49,24,3018118,1898971,323,5879.13
22131,Alice L Barnard Comp Mth/Sc Ct,Network 10,36,16,2266435,1258813,226,5569.95
32081,Ashburn Community Area School,Network 10,56,34,3484764,2450727,310,7905.56
23441,John Gregory School,Network 5,40,22,2455864,1662586,237,7015.12
25991,Joseph Brennemann School,Network 2,63,33,2635137,1736424,473,3671.1
23801,William G Hibbard School,Network 1,90,62,5958281,4752083,840,5657.27
24131,Wendell E Green School,Network 11,40,21,2445342,1654039,277,5971.25
24421,George B McClellan School,Network 6,53,27,2757626,1695640,285,5949.58
24621,John B Murphy School,Network 1,56,38,3597018,2741779,526,5212.48
32021,Lionel Hamptn Fin/Perf Art Sch,Network 10,60,35,3603178,2661094,417,6381.55
23211,Eugene Field School,Network 2,21,14,1007193,600884,128,4694.41
29131,Hawthorne Scholastic Academy,Network 4,57,29,3605214,2024373,646,3133.69
23241,Fort Dearborn School,Network 11,50,25,2809657,1840817,323,5699.13
26431,Edward H White,Network 13,20,13,1170189,843640,117,7210.6
25391,Theophilus Schmid School,Network 12,29,17,1441735,1016545,175,5808.84
22431,Burnham/Anthony Inclusive Acad,Network 13,60,34,3311723,2352340,370,6357.67
25751,James Ward School,Network 6,50,31,3124423,2390531,491,4868.69
31061,Ralph H Metcalfe Com Acad Sch,Network 13,45,22,2457296,1508890,319,4730.07
24311,George Manierre School,Network 4,48,27,2799008,1979236,267,7412.84
29291,Stone Scholastic Academy,Network 2,60,28,3787513,2039640,554,3681.66
26771,Belmont-Cragin School,Network 3,66,33,3347186,2087503,524,3983.78
26191,Arthur R Ashe Jr School,Network 12,33,18,2147855,1562056,346,4514.61
41121,Northwest Middle,Network 3,55,33,3215420,2250172,537,4190.25
23411,Josefa Ortiz De Dominguez Elementary School New Gary,Network 7,61,32,3650855,2480766,386,6426.91
29251,John J Pershing East Mag Sch,Network 9,55,39,3404362,2793303,409,6829.61
22721,Frederic Chopin School,Network 5,66,33,3919536,2618702,309,8474.74
23921,Friedrich L Jahn School,Network 4,47,30,3020048,2225664,330,6744.45
29051,Leif Ericson Scholastic Academ,Network 5,46,30,3111274,2423927,301,8052.95
23501,Alexander Hamilton School,Network 4,49,34,3086117,2409929,502,4800.64
22191,George Rogers Clark School,ISP,33,19,1454576,1000947,136,7359.91
23721,Charles R Henderson School,Network 8,29,18,1785256,1248510,225,5548.93
26701,Fairfield Academy,Network 10,48,32,2662671,1942076,470,4132.03
24791,James Otis School,Network 6,67,36,3810737,2497149,348,7175.7
23551,Sharon Christa Mcauliffe Schoo,Network 4,69,48,4381853,3466860,496,6989.65
24511,Ellen Mitchell School,ISP,41,24,2352672,1772266,445,3982.63
31151,Charles Kozminski Com Acad,Network 9,34,18,1668544,1141426,238,4795.9
22791,Christopher Columbus School,ISP,26,17,1448638,1060540,253,4191.86
29031,Stephen Decatur Classical Scho,Network 2,24,14,1623685,1027243,337,3048.2
25911,Richard Yates Elementary School,Network 5,66,35,3659150,2425692,280,8663.17
31141,Pilsen Community Academy,Network 7,44,26,2305549,1642906,215,7641.43
22221,Hiram H Belding School,,60,41,3481302,2632544,0,0.0
30071,Blair Early Childhood Center,,71,27,3776208,1983890,0,0.0
23731,Patrick Henry School,Network 1,54,36,3317879,2468143,407,6064.22
26201,John T Mccutcheon School,Network 2,65,34,3445631,2251923,314,7171.75
26351,Genevieve Melody School,Network 5,56,25,3328437,1892553,315,6008.11
26441,Amelia Earhart Opt for Know Sc,Network 12,23,14,1550162,1079604,186,5804.33
22151,Clara W Barton School,Network 11,49,27,2829293,2051391,403,5090.3
30121,Wilma G Rudolph Learning Center,,48,14,2541726,1148660,0,0.0
31041,Crown Comm Acad Fine Arts Ct,Network 5,37,17,1822209,1149201,106,10841.5
23791,Agustin Lara Academy,ISP,51,30,3043516,2210515,298,7417.85
53071,George Westinghouse High School,Network 15,110,73,6942533,5179662,1259,4114.12
26321,Benjamin E Mays Academy,Network 11,46,25,2392824,1567488,268,5848.82
24371,Michael Faraday School,Network 5,29,15,1864395,1272386,172,7397.59
25111,Peter A Reinberg School,Network 1,87,58,5492898,4252914,750,5670.58
24651,Jane A Neil School,Network 12,76,28,3549719,1652048,229,7214.17
26061,Jackie R Robinson School,Network 9,21,10,1276217,799740,100,7997.4
22651,George F Cassell School,ISP,53,27,3055501,1969289,338,5826.28
11672,Diverse Lrn Pupil Pers Service,,75,9,5985507,753548,0,0.0
31101,Ninos Heroes Academic Center,Network 12,43,21,2138983,1230231,273,4506.34
25811,Daniel S Wentworth School,,58,32,3293195,2143485,0,0.0
23511,John H Hamline School,Network 8,66,37,3520693,2353855,522,4509.31
22641,Ira F Aldridge School,Network 13,28,15,1389519,774859,203,3817.04
24551,Bernhard Moos School,Network 5,53,35,2885151,2066068,436,4738.72
22361,Charles S Brownell School,Network 12,24,12,1309194,727984,141,5163.01
53111,Manley Career Comm Academy HS,Network 15,28,11,1613439,763402,137,5572.28
23141,Edward Everett Elementary School,ISP,32,16,1482512,856952,84,10201.82
46491,Bowen High School,Network 17,54,24,3022933,1622802,255,6363.92
55011,Phoenix Military Academy,ISP,68,43,3695409,2316417,381,6079.85
31301,Claremont Academy,Network 10,64,34,3915962,2655294,307,8649.16
49091,Hope College Prep HS,,28,9,1229151,507437,0,0.0
23881,Paul Cuffe Elementary School,Network 11,34,19,2349922,1588255,216,7353.05
55171,Schl of Social Justice HS,Network 15,44,26,2369622,1680158,286,5874.65
55151,"Infinity Mth, Sci and Tech HS",Network 15,44,31,2985500,2144092,411,5216.77
55191,Bronzeville Schol Institute,Network 17,35,23,1907581,1354507,121,11194.3
55181,Multicultural Arts High School,Network 15,30,23,1760998,1393762,262,5319.71
55161,Daniel Hale Wms Prp Sch of Med,Network 17,33,19,1947457,1296466,84,15434.12
29211,Annie Keller Regional Gifted Magnet School,Network 10,22,13,1550885,989232,221,4476.16
26751,Johnnie Colemon School,Network 13,27,17,1921323,1489037,157,9484.29
23631,Woodlawn Community,Network 9,21,13,1280366,899374,150,5995.83
22071,New Field School,Network 2,73,43,4321031,3184766,479,6648.77
22621,George Washington Carver Elem,Network 13,50,29,3104986,2136553,440,4855.83
24811,Wells Preparatory School,Network 9,42,24,2648710,1866722,311,6002.32
26371,MLK Academy of Social Justice,Network 11,31,12,1473534,794534,198,4012.81
46481,Chicago Academy High School,Network 14,56,39,3453848,2675894,589,4543.11
25061,Ravenswood School,Network 2,54,36,3163903,2490180,478,5209.58
26461,Evergreen Academy School,Network 8,35,23,2305334,1711901,197,8689.87
26821,Calmeca Acad of Arts & Dual Lg,Network 8,80,48,4596283,3397811,582,5838.16
29111,A Philip Randolph Magnet Schoo,Network 11,46,33,3232324,2606466,305,8545.78
46461,Spry Community Links High School,Network 16,26,18,1443355,1044057,85,12283.01
