Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,128,36,7339552,2919875,275,10617.74
11675,Diverse Lrn Related Svc Prv CW,,1975,2,148175721,0,0,0.0
23131,Esmond School,Network 10,37,19,2301028,1488345,235,6333.4
25351,Jesse Sherwood School,ISP,41,25,2975805,2201272,201,10951.61
23911,Edward N Hurley School,Network 10,78,50,5661875,4405959,732,6019.09
47061,Senn Metro Acd Of Lib Arts/Tec,Network 14,161,99,11601792,8051063,1597,5041.33
46181,Thomas Kelly High School,Network 16,200,121,15230099,10710336,1637,6542.64
47101,Whitney M Young Magnet High School,Network 15,195,123,15282291,10935055,2230,4903.6
24771,Oriole Park School,Network 1,66,48,4727320,3747191,603,6214.23
22941,William E Dever School,Network 1,80,54,5514269,4284898,705,6077.9
29311,John H Vanderpoel Magnet Sch,Network 10,35,15,2190948,1201981,245,4906.04
24761,William J Onahan School,Network 1,65,43,4802339,3622170,645,5615.78
46321,Lincoln Park High School,Network 14,200,131,14968081,11176298,2210,5057.21
29011,Thomas A Edison Reg Gifted Ct,Network 1,24,14,1737519,1102176,266,4143.5
24721,West Park Academy,Network 5,61,37,4188259,3082086,404,7628.92
29221,Philip Murray Language Academy,Network 9,49,25,3044488,1617568,472,3427.04
25601,James N Thorp School,Network 12,58,25,3385774,1936526,303,6391.17
24021,Joyce Kilmer School,Network 2,107,62,7271288,5144615,784,6562.0
26601,William E B Dubois School,Network 13,32,17,2373181,1553765,180,8632.03
46291,Charles P Steinmetz Academic C,Network 14,127,79,9528895,7027560,1149,6116.19
23231,Telpochcalli School,Network 7,39,25,3027945,2192394,211,10390.48
22681,Eliza Chappell Elementary School,Network 2,76,41,4580361,3024595,586,5161.39
25151,Cesar E Chavez Multiclt Acad C,ISP,97,54,6402028,4315887,792,5449.35
46281,Carl Schurz High School,Network 14,178,101,12754619,8984310,1169,7685.57
22061,Philip Armour Elem,ISP,49,28,3045646,2059266,241,8544.69
25211,Sauganash School,Network 1,51,37,3753234,2967618,671,4422.67
22881,Charles R Darwin School,Network 4,66,36,4226419,2762285,501,5513.57
22081,George Armstrong Elementary School,ISP,120,83,9047837,7259535,1261,5756.92
24081,Rudyard Kipling School,ISP,36,21,2422432,1635316,216,7570.89
23651,Robert Healy School,Network 6,107,74,8387112,6784391,1177,5764.15
22401,Luther Burbank Elem,Network 3,96,49,6477678,4342385,682,6367.18
