,School_ID,Short_Name,Long_Name
102,610244,CLARK HS,Michele Clark Academic Prep Magnet High School
103,610245,DOUGLASS HS,Frederick A Douglass Academy High School
104,610304,PHOENIX MILITARY HS,Phoenix Military Academy High School
105,610323,BOWEN HS,Bowen High School
106,610334,RABY HS,Al Raby High School
107,610340,CHICAGO ACADEMY HS,Chicago Academy High School
108,610357,SPRY HS,Spry Community Links High School
109,610380,WILLIAMS HS,Daniel Hale Williams Prep School of Medicine
110,610381,BRONZEVILLE HS,Bronzeville Scholastic Academy High School
111,610383,SOCIAL JUSTICE HS,Greater Lawndale High School For Social Justice
112,610384,INFINITY HS,Infinity Math Science and Technology High School
113,610385,MULTICULTURAL ARTS HIGH SCHOOL,Multicultural Arts High School
114,610389,ORR HS,Orr Academy High School
115,610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School
116,610391,LINDBLOM HS,Robert Lindblom Math & Science Academy HS
117,610392,WORLD LANGUAGE HS,World Language Academy High School
118,610394,UPLIFT HS,Uplift Community High School
119,610499,COLLINS HS,Collins Academy High School
120,610513,AIR FORCE HS,Air Force Academy High School
121,610518,AUSTIN CCA HS,Austin College and Career Academy High School
122,610524,ALCOTT HS,Louisa May Alcott College Preparatory HS
123,610529,OGDEN HS,Ogden International High School
124,610543,SOLORIO HS,Eric Solorio Academy High School
125,610547,SOUTH SHORE INTL HS,South Shore Intl College Prep High School
126,610558,GOODE HS,Sarah E. Goode STEM Academy
127,610561,CRANE MEDICAL HS,Richard T Crane Medical Preparatory HS
128,610563,BACK OF THE YARDS HS,Back of the Yards IB HS
129,610564,DISNEY II HS,Disney II Magnet High School
130,610592,ENGLEWOOD STEM HS,Englewood STEM High School
